,object_number,url,valid_link,image_link,seen
5513,PC 20160029,https://opencontext.org/subjects/1527d8f7-2bf3-495b-8fd8-f881d8346c47,True,https://artiraq.org/static/opencontext/poggio-civitate/to-2017/thumbs/20160029.jpg,True
5514,PC 20160031,https://opencontext.org/subjects/975832f2-55a8-432f-b24c-03304b7be0db,True,https://artiraq.org/static/opencontext/poggio-civitate/to-2017/thumbs/20160031.jpg,True
5515,PC 20160036,https://opencontext.org/subjects/b8e01523-806e-421a-816f-68d2d4811601,True,https://artiraq.org/static/opencontext/poggio-civitate/to-2017/thumbs/20160036a.jpg,True
5516,PC 20160037,https://opencontext.org/subjects/4cfb88c6-c015-492e-acae-0715fdf13bfc,True,https://artiraq.org/static/opencontext/poggio-civitate/to-2017/thumbs/20160037a.jpg,True
5517,PC 20160039,https://opencontext.org/subjects/b5e8b312-0a71-4692-a026-f1013c83657a,True,https://artiraq.org/static/opencontext/poggio-civitate/to-2017/thumbs/20160039a.jpg,True
5518,PC 20160040,https://opencontext.org/subjects/28a73a90-7ebc-4b99-9729-49bb55ca5022,True,https://artiraq.org/static/opencontext/poggio-civitate/to-2017/thumbs/20160040.jpg,True
5519,PC 20160042,https://opencontext.org/subjects/b5f65074-736e-4698-a4b0-9bf0132b736f,True,https://artiraq.org/static/opencontext/poggio-civitate/to-2017/thumbs/20160042.jpg,True
5520,PC 20160044,https://opencontext.org/subjects/4b3f036a-591f-472d-ade0-779d146f2a46,True,https://artiraq.org/static/opencontext/poggio-civitate/to-2017/thumbs/20160044.jpg,True
5521,PC 20160047,https://opencontext.org/subjects/1f732c56-44c7-4c2a-a0a4-07b6a682def9,True,https://artiraq.org/static/opencontext/poggio-civitate/to-2017/thumbs/20160047a.jpg,True
5522,PC 20160049,https://opencontext.org/subjects/57be0bb4-238a-4ca5-9e12-1a1925cffbbc,True,https://artiraq.org/static/opencontext/poggio-civitate/to-2017/thumbs/20160049a.jpg,True
5523,PC 20160050,https://opencontext.org/subjects/a9284ba1-d0bc-40e8-9d0a-4a45c3a8ae58,True,https://artiraq.org/static/opencontext/poggio-civitate/to-2017/thumbs/20160050.jpg,True
5524,PC 20160051,https://opencontext.org/subjects/a5e31295-d88f-4a89-91a9-b3668fdfb5f1,True,https://artiraq.org/static/opencontext/poggio-civitate/to-2017/thumbs/20160051a.jpg,True
5525,PC 20160052,https://opencontext.org/subjects/ef726dc9-7b93-42f6-92df-f73b5bd75820,True,https://artiraq.org/static/opencontext/poggio-civitate/to-2017/thumbs/20160052a.jpg,True
5526,PC 20160054,https://opencontext.org/subjects/6065d274-11fa-47ab-8682-59301967ee39,True,https://artiraq.org/static/opencontext/poggio-civitate/to-2017/thumbs/20160054a.jpg,True
5527,PC 20160055,https://opencontext.org/subjects/0a704812-b15e-4fa5-94e3-2fb2288526cd,True,https://artiraq.org/static/opencontext/poggio-civitate/to-2017/thumbs/20160055.jpg,True
5528,PC 20160057,https://opencontext.org/subjects/15837584-c1e4-44f0-9bce-f327b07678af,True,https://artiraq.org/static/opencontext/poggio-civitate/to-2017/thumbs/20160057a.jpg,True
5529,PC 20160058,https://opencontext.org/subjects/8a917a49-f5ed-452e-96e0-69c8afebdd71,True,https://artiraq.org/static/opencontext/poggio-civitate/to-2017/thumbs/20160058a.jpg,True
5530,PC 20160064,https://opencontext.org/subjects/16df9dc5-28d3-49be-90d2-94d471a7add4,True,https://artiraq.org/static/opencontext/poggio-civitate/to-2017/thumbs/20160064.jpg,True
5531,PC 20160065,https://opencontext.org/subjects/3c0de5ee-af11-497d-a9c1-d771a6fd44da,True,https://artiraq.org/static/opencontext/poggio-civitate/to-2017/thumbs/20160065a.jpg,True
5532,PC 20160067,https://opencontext.org/subjects/90ff4b7c-120e-4bf7-b923-1c5a38a570cc,True,https://artiraq.org/static/opencontext/poggio-civitate/to-2017/thumbs/20160067a.jpg,True
5533,PC 20160068,https://opencontext.org/subjects/b99293e5-b710-44d5-884e-d360cf128411,True,https://artiraq.org/static/opencontext/poggio-civitate/to-2017/thumbs/20160068a.jpg,True
5534,PC 20160071,https://opencontext.org/subjects/1060bb47-3505-4696-9cda-d30e26d24d3a,True,https://artiraq.org/static/opencontext/poggio-civitate/to-2017/thumbs/20160071a.jpg,True
5535,PC 20160072,https://opencontext.org/subjects/e14e4922-b508-4b7d-97cb-f8934a70cfb1,True,https://artiraq.org/static/opencontext/poggio-civitate/to-2017/thumbs/20160072a.jpg,True
5536,PC 20160078,https://opencontext.org/subjects/86d76136-cb3a-4acc-a82f-5a76946bae07,True,https://artiraq.org/static/opencontext/poggio-civitate/to-2017/thumbs/20160078.jpg,True
5537,PC 20160079,https://opencontext.org/subjects/522f5875-726a-4eb0-9abd-8f213555904a,True,https://artiraq.org/static/opencontext/poggio-civitate/to-2017/thumbs/20160079.jpg,True
5538,PC 20160080,https://opencontext.org/subjects/15a6e52f-8aa1-45e7-854d-d42a804f4867,True,https://artiraq.org/static/opencontext/poggio-civitate/to-2017/thumbs/20160080a.jpg,True
5539,PC 20160082,https://opencontext.org/subjects/d6146dfc-b582-445b-91d4-c2668512311a,True,https://artiraq.org/static/opencontext/poggio-civitate/to-2017/thumbs/20160082.jpg,True
5540,PC 20160083,https://opencontext.org/subjects/7a363e96-a4cb-4fc4-b788-051fd8899778,True,https://artiraq.org/static/opencontext/poggio-civitate/to-2017/thumbs/20160083.jpg,True
5541,PC 20160084,https://opencontext.org/subjects/142c68be-40dd-43e8-82d7-79fa6784a327,True,https://artiraq.org/static/opencontext/poggio-civitate/to-2017/thumbs/20160084.jpg,True
5542,PC 20160085,https://opencontext.org/subjects/d918772d-9e31-4e4c-a7ad-cc3827080efd,True,https://artiraq.org/static/opencontext/poggio-civitate/to-2017/thumbs/20160085a.jpg,True
5543,PC 20160087,https://opencontext.org/subjects/5f24b1fe-4bda-4252-a5e3-cacc999297d3,True,https://artiraq.org/static/opencontext/poggio-civitate/to-2017/thumbs/20160087.jpg,True
5544,PC 20160096,https://opencontext.org/subjects/27dc631f-3531-4cef-82fd-bf194ddd71af,True,https://storage.googleapis.com/opencontext-media/poggio-civitate/2024-media/thumbs/pc20160096-16-50-22.jpg,True
