"Item Label","URI","Citation URI","Project","Project URI","Context","Context [2]","Context [3]","Context [4]","Context [5]","Context URI","Latitude (WGS 84)","Longitude (WGS 84)","Early BCE/CE","Late BCE/CE","Item Category","icon","Thumbnail","Published Date","Updated Date"
"1972, ID:77","http://opencontext.org/subjects/8161df34-30a4-4b36-977f-ed68ea59ca5a","https://n2t.net/ark:/28722/k22809073","Murlo","https://opencontext.org/projects/df043419-f23b-41da-7e4d-ee52af22f92f","Europe","Italy","Poggio Civitate","Tesoro","Tesoro 19","https://opencontext.org/subjects/2c8ea052-ea7e-4eef-c09e-15b4aa761fa0","43.15345495618916","11.401861100630533","-700","-535","Excavation Unit","https://opencontext.org/static/oc/icons-v2/oc-context-icon.svg","https://artiraq.org/static/opencontext/poggio-civitate/thumbs/trenchbookimages/uncropped/JNeilsI_190,191.JPG","2012-12-28T00:00:00Z","2025-04-05T15:48:54Z"
"1997, ID:351","http://opencontext.org/subjects/ca7d40fe-8c09-47f7-7a9a-db887b1c6f87","https://n2t.net/ark:/28722/k2t43p42m","Murlo","https://opencontext.org/projects/df043419-f23b-41da-7e4d-ee52af22f92f","Europe","Italy","Poggio Civitate","Tesoro","Tesoro 25 Extension","https://opencontext.org/subjects/56cd4812-9012-4051-8b4b-1e978ba0e54e","43.152370834351","11.402318954468","-700","-535","Excavation Unit","https://opencontext.org/static/oc/icons-v2/oc-context-icon.svg","https://artiraq.org/static/opencontext/poggio-civitate/thumbs/trenchbookimages/uncropped/LSiscoII_98,99.JPG","2012-12-28T00:00:00Z","2025-04-05T15:49:20Z"
"1968, ID:379","http://opencontext.org/subjects/199e7140-260e-4ab0-f8fc-7c604f8e35ee","https://n2t.net/ark:/28722/k25m6680q","Murlo","https://opencontext.org/projects/df043419-f23b-41da-7e4d-ee52af22f92f","Europe","Italy","Poggio Civitate","Tesoro","Tesoro 1 Test 9","https://opencontext.org/subjects/bc2cd55e-3b95-4992-f4b8-fb462b382f82","43.152609876758","11.402819672617","-700","-535","Excavation Unit","https://opencontext.org/static/oc/icons-v2/oc-context-icon.svg","https://artiraq.org/static/opencontext/poggio-civitate/thumbs/trenchbookimages/uncropped/TGantzIII_88,89.JPG","2012-12-28T00:00:00Z","2025-04-05T15:48:40Z"
"1972, ID:72","http://opencontext.org/subjects/aee1b762-b568-47fc-646a-76f7406fee0f","https://n2t.net/ark:/28722/k2nz84r4n","Murlo","https://opencontext.org/projects/df043419-f23b-41da-7e4d-ee52af22f92f","Europe","Italy","Poggio Civitate","Tesoro","Tesoro 18 Northern Extension","https://opencontext.org/subjects/37818d11-51f7-403e-8254-ff29d7711fb4","43.15352735003442","11.401774096249923","-700","-535","Excavation Unit","https://opencontext.org/static/oc/icons-v2/oc-context-icon.svg","https://artiraq.org/static/opencontext/poggio-civitate/thumbs/trenchbookimages/uncropped/JNeilsII_134,135.JPG","2012-12-28T00:00:00Z","2025-07-01T06:32:54Z"
"T109 2024","http://opencontext.org/subjects/1e1bfab8-4b00-4c8e-b2c1-13a26cb119cb","","Murlo","https://opencontext.org/projects/df043419-f23b-41da-7e4d-ee52af22f92f","Europe","Italy","Poggio Civitate","Tesoro","Tesoro 109","https://opencontext.org/subjects/95de05be-1164-4397-8942-f98269bc96d5","43.1529183348426","11.402272102211509","-700","-535","Excavation Unit","https://opencontext.org/static/oc/icons-v2/oc-context-icon.svg","https://storage.googleapis.com/opencontext-media/poggio-civitate/2024-media/thumbs/trench-book-img-20240803-170351759-4-21-31.jpg","2012-07-06T00:00:00Z","2025-04-05T15:48:22Z"
"1992, ID:139","http://opencontext.org/subjects/8c6d0960-e44d-4c77-eb65-b1bf15b23c1c","https://n2t.net/ark:/28722/k2v120m9w","Murlo","https://opencontext.org/projects/df043419-f23b-41da-7e4d-ee52af22f92f","Europe","Italy","Poggio Civitate","Tesoro","Tesoro 26","https://opencontext.org/subjects/85992e07-7da1-4af7-f0b8-2209cbe4f57f","43.15269327355365","11.401822935274415","-700","-535","Excavation Unit","https://opencontext.org/static/oc/icons-v2/oc-context-icon.svg","https://artiraq.org/static/opencontext/poggio-civitate/thumbs/trenchbookimages/uncropped/TTuckIII_124,125.JPG","2012-12-28T00:00:00Z","2025-04-05T15:49:15Z"
"1998, ID:359","http://opencontext.org/subjects/c7823aac-4e80-48b0-a6e6-b772c58873a4","https://n2t.net/ark:/28722/k2bp0241q","Murlo","https://opencontext.org/projects/df043419-f23b-41da-7e4d-ee52af22f92f","Europe","Italy","Poggio Civitate","Civitate A","Civitate A 42","https://opencontext.org/subjects/e0bab177-42ec-49e1-d4fc-25e7f2b3f31b","43.15337176047818","11.399452279863224","-700","-535","Excavation Unit","https://opencontext.org/static/oc/icons-v2/oc-context-icon.svg","https://artiraq.org/static/opencontext/poggio-civitate/thumbs/trenchbookimages/LSiscoI/LSiscoI_242,243.jpg","2012-12-28T00:00:00Z","2025-04-05T15:49:21Z"
"1989, ID:134","http://opencontext.org/subjects/c2df07ac-7fbd-47f6-4d82-328bada0cc8d","https://n2t.net/ark:/28722/k2kh0k08z","Murlo","https://opencontext.org/projects/df043419-f23b-41da-7e4d-ee52af22f92f","Europe","Italy","Poggio Civitate","Tesoro","Tesoro 26","https://opencontext.org/subjects/85992e07-7da1-4af7-f0b8-2209cbe4f57f","43.152665133643424","11.401948133474562","-700","-535","Excavation Unit","https://opencontext.org/static/oc/icons-v2/oc-context-icon.svg","https://artiraq.org/static/opencontext/poggio-civitate/thumbs/trenchbookimages/uncropped/NMeyerII_318,319.JPG","2012-12-28T00:00:00Z","2025-07-02T10:10:08Z"
"1971, ID:66","http://opencontext.org/subjects/6ca4122d-0af2-4f2b-d8bf-c77584ad386d","https://n2t.net/ark:/28722/k2bk1bq9v","Murlo","https://opencontext.org/projects/df043419-f23b-41da-7e4d-ee52af22f92f","Europe","Italy","Poggio Civitate","Tesoro","Tesoro 15 and Pozzo","https://opencontext.org/subjects/207fff9c-d526-4f0d-beaf-a606a21e7316","43.152886825985384","11.40120615044646","-700","-535","Excavation Unit","https://opencontext.org/static/oc/icons-v2/oc-context-icon.svg","https://artiraq.org/static/opencontext/poggio-civitate/thumbs/trenchbookimages/uncropped/JMacIntoshII_124,125.JPG","2012-12-28T00:00:00Z","2025-04-05T15:48:51Z"
"1993, ID:397","http://opencontext.org/subjects/cefdf473-5b63-4b3f-b16f-c4e77e03f2be","https://n2t.net/ark:/28722/k2rv0j231","Murlo","https://opencontext.org/projects/df043419-f23b-41da-7e4d-ee52af22f92f","Europe","Italy","Poggio Civitate","Civitate A","Civitate A 37","https://opencontext.org/subjects/0bcb4d5b-1824-4005-2db0-7d4a8e82ff0d","43.15330651858312","11.399716962480726","-700","-535","Excavation Unit","https://opencontext.org/static/oc/icons-v2/oc-context-icon.svg","https://artiraq.org/static/opencontext/poggio-civitate/thumbs/trenchbookimages/uncropped/TTuckI_208,209.JPG","2012-12-28T00:00:00Z","2025-04-05T15:49:16Z"
